Aerococcus_christensenii,Achr
Atopobium_vaginae,Avag
Clostridiales_BVAB2,BVAB2
Clostridiales_OTU22,CL22
Coriobacteriaceae_OTU27,CO27
Corynebacterium_cluster_45,C45
Dialister_cluster_51,Dcl51
Dialister_micraerophilus,Dmic
Dialister_propionicifaciens,Dppf
Enterobacteriaceae_cluster_31,ENcl31
Fusobacterium_cluster_48,F48
Finegoldia_magna,Fmag
Gardnerella_vaginalis,Gvag
Gemella_morbillorum_cluster,Gmorcl
Gemella_OTU86,G86
Haemophilus_cluster_60,Hcl60
Lachnospiraceae_BVAB1,BVAB1
Lactobacillus_coleohominis,Lcol
Lactobacillus_crispatus_cluster,Lcricl
Lactobacillus_cripatus_cluster,Lcricl
Lactobacillus_crispatus_cluster,Lcricl
Lactobacillus_gasseri_cluster,Lgas
Lactobacillus_iners,Line
Lactobacillus_jensenii,Ljen
Lactobacillus_vaginalis,Lvag
Megasphaera_type1_OTU70,Mty1
Megasphaera_type2_OTU71_,Mty2
Megasphaera_OTU71_type2,Mty2
Mycoplasma_hominis,Mhom
Parvimonas_OTU142,P142
Porphyromonas_bennonis,Pben
Prevotella_amnii,Pamn
Prevotella_bivia,Pbiv
Prevotella_cluster_2_(Note:_contains_P._timonensis),Pcl2
Prevotella_cluster_50,P50
Prevotella_corporis,Pcor
Prevotella_OTU49,P49
Prevotella_timonensis,Ptim
Prevotellaceae_OTU61,PR61
Sneathia_amnii,Samn
Sneathia_sanguinegens,Ssan
Staphylococcus_cluster_47,S47
Streptococcus_anginosus,Sang
Streptococcus_cluster_29,Strepcl29
Streptococcus_salivarius_cluster,Ssalcl
TM7-H1,TM7-H1
Ureaplasma_cluster23,Ucl23
Lachnospiraceae_BVAB1,BVAB1
Prevotella_cluster2,Pcl2
Megasphaera_OTU70_type1,Mty1
Sneathia_amnii,Samn
TM7_OTU-H1,TM7
Dialister_cluster51,Dcl51
Prevotella_amnii,Pamn
Clostridiales_BVAB2,BVAB2
Dialister_micraerophilus,Dmic
Parvimonas_OTU142,P142
